Year,Player,ERA,Team
1901,Cy Young,1.62,Boston
1902,Ed Siever,1.91,Detroit
1903,Earl Moore,1.74,Cleveland
1904,Addie Joss,1.59,Cleveland
1905,Rube Waddell,1.48,Philadelphia
1906,Doc White,1.52,Chicago
1907,Ed Walsh,1.6,Chicago
1908,Addie Joss,1.16,Cleveland
1909,Harry Krause,1.39,Philadelphia
1910,Ed Walsh,1.27,Chicago
1911,Vean Gregg,1.8,Cleveland
1912,Walter Johnson,1.39,Washington
1913,Walter Johnson,1.14,Washington
1914,Dutch Leonard,0.96,Boston
1915,Joe Wood,1.49,Boston
1916,Babe Ruth,1.75,Boston
1917,Eddie Cicotte,1.53,Chicago
1918,Walter Johnson,1.27,Washington
1919,Walter Johnson,1.49,Washington
1920,Stan Coveleski,2.49,Cleveland
1921,Red Faber,2.48,Chicago
1922,Red Faber,2.81,Chicago
1923,Stan Coveleski,2.76,Cleveland
1924,Walter Johnson,2.72,Washington
1925,Stan Coveleski,2.84,Washington
1926,Lefty Grove,2.51,Philadelphia
1927,Wilcy Moore,2.28,New York
1928,Garland Braxton,2.51,Washington
1929,Lefty Grove,2.81,Philadelphia
1930,Lefty Grove,2.54,Philadelphia
1931,Lefty Grove,2.06,Philadelphia
1932,Lefty Grove,2.84,Philadelphia
1933,Mel Harder,2.95,Cleveland
1934,Lefty Gomez,2.33,New York
1935,Lefty Grove,2.7,Boston
1936,Lefty Grove,2.81,Boston
1937,Lefty Gomez,2.33,New York
1938,Lefty Grove,3.08,Boston
1939,Lefty Grove,2.54,Boston
1940,Bob Feller,2.61,Cleveland
1941,Thornton Lee,2.37,Chicago
1942,Ted Lyons,2.1,Chicago
1943,Spud Chandler,1.64,New York
1944,Dizzy Trout,2.12,Detroit
1945,Hal Newhouser,1.81,Detroit
1946,Hal Newhouser,1.94,Detroit
1947,Joe Haynes,2.42,Chicago
1948,Gene Bearden,2.43,Cleveland
1949,Mike Garcia,2.36,Cleveland
1950,Early Wynn,3.2,Cleveland
1951,Saul Rogovin,2.48,Chicago
1952,Allie Reynolds,2.06,New York
1953,Ed Lopat,2.42,New York
1954,Mike Garcia,2.64,Cleveland
1955,Billy Pierce,1.97,Chicago
1956,Whitey Ford,2.47,New York
1957,Bobby Shantz,2.45,New York
1958,Whitey Ford,2.01,New York
1959,Hoyt Wilhelm,2.19,Baltimore
1960,Frank Baumann,2.67,Chicago
1961,Dick Donovan,2.4,Washington
1962,Hank Aguirre,2.21,Detroit
1963,Gary Peters,2.33,Chicago
1964,Dean Chance,1.65,Los Angeles
1965,Sam McDowell,2.18,Cleveland
1966,Gary Peters,1.98,Chicago
1967,Joe Horlen,2.06,Chicago
1968,Luis Tiant,1.6,Cleveland
1969,Dick Bosman,2.19,Washington
1970,Diego Segui,2.56,Oakland
1971,Vida Blue,1.82,Oakland
1972,Luis Tiant,1.91,Boston
1973,Jim Palmer,2.4,Baltimore
1974,Catfish Hunter,2.49,Oakland
1975,Jim Palmer,2.09,Baltimore
1976,Mark Fidrych,2.34,Detroit
1977,Frank Tanana,2.54,California
1978,Ron Guidry,1.74,New York
1979,Ron Guidry,2.78,New York
1980,Rudy May,2.46,New York
1981,Steve McCatty,2.33,Oakland
1982,Rick Sutcliffe,2.96,Cleveland
1983,Rick Honeycutt,2.42,Texas
1984,Mike Boddicker,2.79,Baltimore
1985,Dave Stieb,2.48,Toronto
1986,Roger Clemens,2.48,Boston
1987,Jimmy Key,2.76,Toronto
1988,Allan Anderson,2.45,Minnesota
1989,Bret Saberhagen,2.16,Kansas City
1990,Roger Clemens,1.93,Boston
1991,Roger Clemens,2.62,Boston
1992,Roger Clemens,2.41,Boston
1993,Kevin Appier,2.56,Kansas City
1994,Roger Clemens,2.85,Boston
1995,Randy Johnson,2.48,Seattle
1996,Juan Guzman,2.93,Toronto
1997,Roger Clemens,2.05,Toronto
1998,Roger Clemens,2.65,Toronto
1999,Pedro Martinez,2.07,Boston
2000,Pedro Martinez,1.74,Boston
2001,Freddy Garcia,3.05,Seattle
2002,Pedro Martinez,2.26,Boston
2003,Pedro Martinez,2.22,Boston
2004,Johan Santana,2.61,Minnesota
2005,Kevin Millwood,2.86,Cleveland
2006,Johan Santana,2.77,Minnesota
2007,John Lackey,3.01,Los Angeles
2008,Cliff Lee,2.54,Cleveland
2009,Zack Greinke,2.16,Kansas City
2010,Felix Hernández,2.27,Seattle
2011,Justin Verlander,2.4,Detroit
2012,David Price,2.56,Tampa Bay
2013,Aníbal Sánchez,2.57,Detroit
2014,Felix Hernández,2.14,Seattle
2015,Dallas Keuchel,2.48,Houston
2016,Aaron Sanchez,3.0,Toronto
2017,Corey Kluber,2.25,Cleveland
2018,Blake Snell,1.89,Tampa Bay
2019,Gerrit Cole,2.5,Houston
2020,Shane Shane,1.63,Cleveland
2021,Robbie Ray,2.84,Toronto
2022,Justin Verlander,1.75,Houston
2023,Gerrit Cole,2.63,New York
2024,Tarik Skubal,2.39,Detroit
2025,Tarik Skubal,2.21,Detroit
