Year,Player,Wins,Team
1901,Cy Young,33.0,Boston
1902,Cy Young,32.0,Boston
1903,Cy Young,28.0,Boston
1904,Jack Chesbro,41.0,New York
1905,Rube Waddell,27.0,Philadelphia
1906,Al Orth,27.0,New York
1907,Addie Joss,27.0,Cleveland
1908,Ed Walsh,40.0,Chicago
1909,George Mullin,29.0,Detroit
1910,Jack Coombs,31.0,Philadelphia
1911,Jack Coombs,28.0,Philadelphia
1912,Joe Wood,34.0,Boston
1913,Walter Johnson,36.0,Washington
1914,Walter Johnson,28.0,Washington
1915,Walter Johnson,27.0,Washington
1916,Walter Johnson,25.0,Washington
1917,Eddie Cicotte,28.0,Chicago
1918,Walter Johnson,23.0,Washington
1919,Eddie Cicotte,29.0,Chicago
1920,Jim Bagby,31.0,Cleveland
1921,Carl Mays,27.0,New York
1922,Eddie Rommel,27.0,Philadelphia
1923,George Uhle,26.0,Cleveland
1924,Walter Johnson,23.0,Washington
1925,Ted Lyons,21.0,Chicago
1926,George Uhle,27.0,Cleveland
1927,Waite Hoyt,22.0,New York
1928,Lefty Grove,24.0,Philadelphia
1929,George Earnshaw,24.0,Philadelphia
1930,Lefty Grove,28.0,Philadelphia
1931,Lefty Grove,31.0,Philadelphia
1932,Alvin Crowder,26.0,Washington
1933,Alvin Crowder,24.0,Washington
1934,Lefty Gomez,26.0,New York
1935,Wes Ferrell,25.0,Boston
1936,Tommy Bridges,23.0,Detroit
1937,Lefty Gomez,21.0,New York
1938,Red Ruffing,21.0,New York
1939,Bob Feller,24.0,Cleveland
1940,Bob Feller,27.0,Cleveland
1941,Bob Feller,25.0,Cleveland
1942,Tex Hughson,22.0,Boston
1943,Spud Chandler,20.0,New York
1944,Hal Newhouser,29.0,Detroit
1945,Hal Newhouser,25.0,Detroit
1946,Bob Feller,26.0,Cleveland
1947,Bob Feller,20.0,Cleveland
1948,Hal Newhouser,21.0,Detroit
1949,Mel Parnell,25.0,Boston
1950,Bob Lemon,23.0,Cleveland
1951,Bob Feller,22.0,Cleveland
1952,Bobby Shantz,24.0,Philadelphia
1953,Bob Porterfield,22.0,Washington
1954,Bob Lemon,23.0,Cleveland
1955,Whitey Ford,18.0,New York
1956,Frank Lary,21.0,Detroit
1957,Jim Bunning,20.0,Detroit
1958,Bob Turley,21.0,New York
1959,Early Wynn,22.0,Chicago
1960,Chuck Estrada,18.0,Baltimore
1961,Whitey Ford,25.0,New York
1962,Ralph Terry,23.0,New York
1963,Whitey Ford,24.0,New York
1964,Dean Chance,20.0,Los Angeles
1965,Mudcat Grant,21.0,Minnesota
1966,Jim Kaat,25.0,Minnesota
1967,Jim Lonborg,22.0,Boston
1968,Denny McLain,31.0,Detroit
1969,Denny McLain,24.0,Detroit
1970,Mike Cuellar,24.0,Baltimore
1971,Mickey Lolich,25.0,Detroit
1972,Gaylord Perry,24.0,Cleveland
1973,Wilbur Wood,24.0,Chicago
1974,Catfish Hunter,25.0,Oakland
1975,Catfish Hunter,23.0,New York
1976,Jim Palmer,22.0,Baltimore
1977,Dave Goltz,20.0,Minnesota
1978,Ron Guidry,25.0,New York
1979,Mike Flanagan,23.0,Baltimore
1980,Steve Stone,25.0,Baltimore
1981,Dennis Martinez,14.0,Baltimore
1982,LaMarr Hoyt,19.0,Chicago
1983,LaMarr Hoyt,24.0,Chicago
1984,Mike Boddicker,20.0,Baltimore
1985,Ron Guidry,22.0,New York
1986,Roger Clemens,24.0,Boston
1987,Roger Clemens,20.0,Boston
1988,Frank Viola,24.0,Minnesota
1989,Bret Saberhagen,23.0,Kansas City
1990,Bob Welch,27.0,Oakland
1991,Scott Erickson,20.0,Minnesota
1992,Kevin Brown,21.0,Texas
1993,Jack McDowell,22.0,Chicago
1994,Jimmy Key,17.0,New York
1995,Mike Mussina,19.0,Baltimore
1996,Andy Pettitte,21.0,New York
1997,Roger Clemens,21.0,Toronto
1998,Roger Clemens,20.0,Toronto
1999,Pedro Martinez,23.0,Boston
2000,Tim Hudson,20.0,Oakland
2001,Mark Mulder,21.0,Oakland
2002,Barry Zito,23.0,Oakland
2003,Roy Halladay,22.0,Toronto
2004,Curt Schilling,21.0,Boston
2005,Bartolo Colon,21.0,Los Angeles
2006,Johan Santana,19.0,Minnesota
2007,Josh Beckett,20.0,Boston
2008,Cliff Lee,22.0,Cleveland
2009,Felix Hernández,19.0,Seattle
2010,CC Sabathia,21.0,New York
2011,Justin Verlander,24.0,Detroit
2012,David Price,20.0,Tampa Bay
2013,Max Scherzer,21.0,Detroit
2014,Corey Kluber,18.0,Cleveland
2015,Dallas Keuchel,20.0,Houston
2016,Rick Porcello,22.0,Boston
2017,Carlos Carrasco,18.0,Cleveland
2018,Blake Snell,21.0,Tampa Bay
2019,Justin Verlander,21.0,Houston
2020,Shane Bieber,8.0,Cleveland
2021,Gerrit Cole,16.0,New York
2022,Justin Verlander,18.0,Houston
2023,Chris Bassitt,16.0,Toronto
2024,Tarik Skubal,18.0,Detroit
2025,Max Fried,19.0,New York
