Year,Player,Wins,Team
1876,Al Spalding,47,Chicago
1877,Tommy Bond,40,Boston
1878,Tommy Bond,40,Boston
1879,John Ward,47,Providence
1880,Jim McCormick,45,Cleveland
1881,Larry Corcoran,31,Chicago
1882,Jim McCormick,36,Cleveland
1883,Old Hoss Radbourn,48,Providence
1884,Old Hoss Radbourn,59,Providence
1885,John Clarkson,53,Chicago
1886,Lady Baldwin,42,Detroit
1887,John Clarkson,38,Chicago
1888,Tim Keefe,35,New York
1889,John Clarkson,49,Boston
1890,Bill Hutchison,42,Chicago
1891,Bill Hutchison,44,Chicago
1892,Bill Hutchison,36,Chicago
1893,Frank Killen,36,Pittsburgh
1894,Amos Rusie,36,New York
1895,Cy Young,35,Cleveland
1896,Frank Killen,30,Pittsburgh
1897,Kid Nichols,31,Boston
1898,Kid Nichols,31,Boston
1899,Jay Hughes,28,Brooklyn
1900,Joe McGinnity,28,Brooklyn
1901,Bill Donovan,25,Brooklyn
1902,Jack Chesbro,28,Pittsburgh
1903,Joe McGinnity,31,New York
1904,Joe McGinnity,35,New York
1905,Christy Mathewson,31,New York
1906,Joe McGinnity,27,New York
1907,Christy Mathewson,24,New York
1908,Christy Mathewson,37,New York
1909,Mordecai Brown,27,Chicago
1910,Christy Mathewson,27,New York
1911,Grover Alexander,28,Philadelphia
1912,Larry Cheney,26,Chicago
1913,Tom Seaton,27,Philadelphia
1914,Grover Alexander,27,Philadelphia
1915,Grover Alexander,31,Philadelphia
1916,Grover Alexander,33,Philadelphia
1917,Grover Alexander,30,Philadelphia
1918,Hippo Vaughn,22,Chicago
1919,Jesse Barnes,25,New York
1920,Grover Alexander,27,Chicago
1921,Wilbur Cooper,22,Pittsburgh
1922,Eppa Rixey,25,Cincinnati
1923,Dolf Luque,27,Cincinnati
1924,Dazzy Vance,28,Brooklyn
1925,Dazzy Vance,22,Brooklyn
1926,Pete Donohue,20,Cincinnati
1927,Charlie Root,26,Chicago
1928,Larry Benton,25,New York
1929,Pat Malone,22,Chicago
1930,Ray Kremer,20,Pittsburgh
1931,Jumbo Elliott,19,Philadelphia
1932,Lon Warneke,22,Chicago
1933,Carl Hubbell,23,New York
1934,Dizzy Dean,30,St. Louis
1935,Dizzy Dean,28,St. Louis
1936,Carl Hubbell,26,New York
1937,Carl Hubbell,22,New York
1938,Bill Lee,22,Chicago
1939,Bucky Walters,27,Cincinnati
1940,Bucky Walters,22,Cincinnati
1941,Kirby Higbe,22,Brooklyn
1942,Mort Cooper,22,St. Louis
1943,Mort Cooper,21,St. Louis
1944,Bucky Walters,23,Cincinnati
1945,Red Barrett,23,Boston
1946,Howie Pollet,21,St. Louis
1947,Ewell Blackwell,22,Cincinnati
1948,Johnny Sain,24,Boston
1949,Warren Spahn,21,Boston
1950,Warren Spahn,21,Boston
1951,Larry Jansen,23,New York
1952,Robin Roberts,28,Philadelphia
1953,Robin Roberts,23,Philadelphia
1954,Robin Roberts,23,Philadelphia
1955,Robin Roberts,23,Philadelphia
1956,Don Newcombe,27,Brooklyn
1957,Warren Spahn,21,Milwaukee
1958,Bob Friend,22,Pittsburgh
1959,Lew Burdette,21,Milwaukee
1960,Ernie Broglio,21,St. Louis
1961,Joey Jay,21,Cincinnati
1962,Don Drysdale,25,Los Angeles
1963,Sandy Koufax,25,Los Angeles
1964,Larry Jackson,24,Chicago
1965,Sandy Koufax,26,Los Angeles
1966,Sandy Koufax,27,Los Angeles
1967,Mike McCormick,22,San Francisco
1968,Juan Marichal,26,San Francisco
1969,Tom Seaver,25,New York
1970,Bob Gibson,23,St. Louis
1971,Fergie Jenkins,24,Chicago
